STATEMENT,SUPPORTING DOC 1,SUPPORTING DOC 2,SUPPORTING DOC 3,JUDGEMENT,CONFIDENCE,DERIVATION STEP1,SUPPORTING SENT. FOR STEP1,DERIVATION STEP2,SUPPORTING SENT. FOR STEP2,DERIVATION STEP3,SUPPORTING SENT. FOR STEP3,SCORE,WikiHop ID
Georg branting is a member of Swedish social democratic party,"Georg Branting ( 21 September 1887 -- 6 July 1965 ) was a Swedish Social Democrat and Olympic fencer . He was the son of Hjalmar Branting and a member of the Riksdag 1932 -- 1961 . In the Spanish Civil War a Scandinavian battalion of the International Brigades was named after him , as a sign of thanks for his vehement support of the Spanish Republic . Related to the Civil War of Finland 1918 he wrote a book translated in 1925 in Finnish as : Oikeudenkäyttö Suomessa , Muutamia asiakirjoja selityksineen . He competed for Sweden in fencing at the 1908 and 1912 Summer Olympics .","Biography.
He was born to the professor Lars Gabriel Branting and the noblewoman and pianist Emma af Georgii. Branting was educated in Stockholm and at Uppsala University. He developed a scientific background in mathematical astronomy and was an assistant at the Stockholm Observatory, but gave up his devotion to scientific work to become a journalist in 1884 and began editing the newspapers 'Tiden' and 'Social-Demokraten'. His decision to publish an article by the more radical socialist Axel Danielsson - a piece denounced by opponents as insulting to religious sensitivities - resulted in political convictions for blasphemy and imprisonment for both men. Branting was imprisoned for three months in 1888.","Axel Danielsson (15 December 1863 – 30 December 1899) was a Swedish socialist agitator, journalist and writer, born in Värmland. He was a prominent leader of the early Swedish Social Democratic Party. Danielsson retranslated Karl Marx's 'Communist Manifesto' into Swedish in 1886.",TRUE,cf,Georg Branting was a Swedish Social Democrat.,Georg Branting ( 21 September 1887 -- 6 July 1965 ) was a Swedish Social Democrat and Olympic fencer .,NA,NA,,NA,1353,WH_train_11873
Hagop baronian's ethnic group is Armenians,"Hagop Baronian ( pronounced in Eastern Armenian as Hakop Paronyan , TAO : Յակոբ Պարոնեան , RAO : Հակոբ Պարոնյան , 1843 -- 1891 ) was an influential Ottoman Armenian writer , satirist , educator , and social figure in the 19th century . Born in Edirne , Baronian is widely acknowledged as the greatest Armenian satirist of all time , closely followed by Yervant Odian . Baronian 's most famous work was the book Medzabadiv Muratsganner ( `` Honorable Beggars '' ) , which parodies the almost beggar - like state of writers and publishers in that period . Baronian was also known for his biting , sarcastic criticisms of leading figures in the Armenian social circles of Istanbul ; some of these critical comments appear in his book Azkayin Chocher ( `` National Bigshots '' ) . Unfortunately , he himself suffered the same fate as the characters in Medzabadiv Mouratsganner , and died penniless on the streets of Istanbul . He was buried in an Armenian cemetery in Istanbul , but the precise location of his grave has been lost .","Eastern Armenian ('arevelahayeren') is one of the two standardized forms of Modern Armenian, the other being Western Armenian. The two standards form a pluricentric language.","Western Armenian (Classical spelling: , 'arevmdahayerên') is one of the two standardized forms of Modern Armenian, the other being Eastern Armenian. Until the early 20th century, various Western Armenian dialects were spoken in the Ottoman Empire, especially in the eastern regions historically populated by Armenians known as Western Armenia. Following the extermination of the Armenian population during the Armenian Genocide of 1915 Western Armenian is now spoken, almost exclusively, in the Armenian diaspora communities around the world. As a diasporic language, and as a language that is not an official language of any state, Western Armenian faces extinction as its native speakers lose fluency in Western Armenian amid pressures to assimilate into their host countries. Estimates place the number of fluent speakers of Western Armenian at less than one million.",TRUE,verycf,Hagop Baronian is an Armenian satirist.,"Born in Edirne , Baronian is widely acknowledged as the greatest Armenian satirist of all time , closely followed by Yervant Odian .",NA,NA,,NA,1371,WH_train_25781
Chaos and order is published by Bantam books,"Chaos and Order ( or officially The Gap into Madness : Chaos and Order ) is the fourth book of The Gap Cycle by Stephen R. Donaldson , a science fiction series .","The Gap Cycle (published 1991–1996 by Bantam Books and reprinted by Gollancz in 2008) is a science fiction story, told in a series of 5 books, written by Stephen R. Donaldson. It is an epic set in a future where humans have pushed far out into space in the name of commerce and follows two concurrent story arcs. The first concerns an ensign in the United Mining Companies Police (UMCP), Morn Hyland, who is attempting simply to stay alive after being captured by a marauder named Angus Thermopyle. The second follows the fate of three people who are affected by the Byzantine political maneuvering of the head of the UMCP, Warden Dios, as he attempts to thwart the machinations of his boss, the CEO of United Mining Companies (UMC) itself, Holt Fasner.",,TRUE,verycf,Chaos and Order is the fourth book of The Gap Cycle,"Chaos and Order ( or officially The Gap into Madness : Chaos and Order ) is the fourth book of The Gap Cycle by Stephen R. Donaldson , a science fiction series .",The Gap Cycle published 1991–1996 by Bantam Books,"The Gap Cycle (published 1991–1996 by Bantam Books and reprinted by Gollancz in 2008) is a science fiction story, told in a series of 5 books, written by Stephen R. Donaldson.",,,1350,WH_train_28771
For lack of a better name is published on 22 september 2009,"For Lack of a Better Name is the fourth studio album by Canadian house producer deadmau5 . Deadmau5 collaborates with MC Flipside on `` Hi Friend ! '' , and with Pendulum 's Rob Swire on `` Ghosts ' n ' Stuff '' . The album was released on September 22 , 2009 in the United States and was released globally on October 5 , 2009 . Digital copies via Beatport , and the iTunes Store were released in a variety of countries on September 22 with the physical release . The album also contains the critically acclaimed song `` Strobe '' . A video for the song `` Ghosts ' n ' Stuff '' was released in August 2009 . `` Moar Ghosts ' n ' Stuff '' contains a voice sample from the film The Brain from Planet Arous ; `` After I 'm gone , your Earth will be free to live out its miserable span of existence , as one of my satellites , and that 's how it 's going to be ... '' . It also contains a sample from the familiar funeral march by Chopin . An unmixed version , called For Lack of a Better Name : The Extended Mixes was released on October 20 , 2009 . This version uses the extended version of Ghosts n Stuff and also uses the original mix of Moar Ghosts N Stuff which excludes the voice sample . `` Ghosts ' n ' Stuff '' was featured on a promo for the Canadian version of So You Think You Can Dance . `` FML '' and `` Hi Friend ! '' are featured on Gossip Girl where deadmau5 appeared as himself . `` Strobe '' , as well as the track `` Cthulhu Sleeps '' ( from 4 × 4 = 12 ) , also went on to appear in an episode of Epic Meal Time , in which deadmau5 also starred .",'Ghosts 'n' Stuff' (also known as 'Ghosts N Stuff') is a song by the Canadian electronic music producer deadmau5 featuring vocals by Rob Swire of the Australian drum and bass band Pendulum and the electronic duo Knife Party. It was first released as a standalone single on 25 November 2008 and later appeared on deadmau5's fourth studio album 'For Lack of a Better Name'. The song's refrain is a reinterpretation of Chris Isaak's song 'Wicked Game'.,"For Lack of a Better Name is the fourth studio album and major label debut by the Canadian record producer and DJ deadmau5, released on 22 September 2009 in the United States and Canada by Ultra Records and mau5trap and internationally on 5 October 2009 by Virgin Records. The album features collaborations with MC Flipside ('Hi Friend!') and with Rob Swire of Pendulum ('Ghosts 'n' Stuff'). The album also contains the critically acclaimed song 'Strobe'. It is deadmau5's first album to be released internationally on the Virgin Records label.",TRUE,cf,"For lack of a better name was released on September 22 , 2009 in the United States.","The album was released on September 22 , 2009 in the United States and was released globally on October 5 , 2009 .",NA,NA,,NA,1239,WH_train_21340
Mccarthy homestead cabin is located in Montana,"The McCarthy Homestead Cabin is a remnant of early settlement in what would become Glacier National Park . Jeremiah McCarthy built the log homestead in the North Fork area in 1908 after completion of the North Fork Road and passage of the Forest Homestead Act . The cabin is the only representative of pre- 1910 homesteading activity on the west side of the Continental Divide in Glacier . During the 1930s a Civilian Conservation Corps camp was built nearby . At about the same time , the cabin , and others nearby , transitioned from homesteading inholdings to summer cabins for their owners . In the 1950s some of the CCC structures were relocated to the vicinity of the cabin . The National Park Service purchased the property in 1970 .","The North Fork Road in Glacier National Park was built in 1901. The Butte Oil Company constructed a rough wagon road from Lake McDonald to its oil well at Kintla Lake, encouraging the development of the North Fork region. From 1935-1945, the National Park Service developed the road adding culverts and drains. The unpaved road extends nearly forty miles, almost to the Canada–United States border.","Lake McDonald is the largest lake in Glacier National Park. It is located at in Flathead County in the U.S. state of Montana. Lake McDonald is approximately 10 miles (16 km) long, and over a mile (1.6 km) wide and 472 feet (130 m) deep, filling a valley formed by a combination of erosion and glacial activity. Lake McDonald lies at an elevation of 3,153 feet (960 m) and is on the west side of the Continental Divide. The Going-to-the-Sun Road parallels the lake along its southern shoreline. The surface area of the lake is 6,823 acres (27.6 km).",TRUE,cf,Jeremiah McCarthy built the McCarthy homestead cabin in the North Fork area.,Jeremiah McCarthy built the log homestead in the North Fork area in 1908 after completion of the North Fork Road and passage of the Forest Homestead Act .,The North Fork Road is in Glacier National Park.,The North Fork Road in Glacier National Park was built in 1901.,Lake McDonald in Glacier National Park is located at in the U.S. state of Montana.,It is located at in Flathead County in the U.S. state of Montana.,1294,WH_train_39821
Andreninae belongs to Andrenidae,"The bee subfamily Andreninae is a nearly cosmopolitan lineage , with most of its diversity in one genus , Andrena , which contains over 1500 species . The remaining four genera in the subfamily only contain a total of 9 species . Females of three of the genera ( Ancylandrena , Andrena , and Megandrena ) have broad , velvety depressions called `` facial foveae '' on the face between the eyes and the antennae ; in all other members of the family , the foveae are much smaller , typically reduced to grooves or pits at the upper margin of the eyes . Ancylandrena and Megandrena occur only in the desert regions of southwestern North America ( Nevada , California , Arizona , Sonora , and Baja California ) , while Andrena is nearly worldwide . Euherbstia and Orphana are rare bees restricted to desert regions of Chile . Unlike the subfamily Panurginae , none of the species of Andreninae have yellow markings anywhere other than on the face ; those markings , when present , are usually found only in males .","Andrena, commonly called the mining bee, is the largest genus in the family Andrenidae, and is nearly worldwide in distribution, with the notable exceptions of Oceania and South America. With over 1,300 species, it is one of the largest of all bee genera. Species are often brown to black with whitish abdominal hair bands, though other colors are possible, most commonly reddish, but also including metallic blue or green.",,TRUE,bet,"The bee subfamily Andreninae is, with most of its diversity in one genus , Andrena","The bee subfamily Andreninae is a nearly cosmopolitan lineage , with most of its diversity in one genus , Andrena , which contains over 1500 species .","Andrena, is the largest genus in the family Andrenidae","Andrena, commonly called the mining bee, is the largest genus in the family Andrenidae, and is nearly worldwide in distribution, with the notable exceptions of Oceania and South America.",,,1296,WH_train_31775
Generalmajor is an instance of Military rank,"Generalmajor is an officer 's rank in Sweden and Finland , immediately above Brigadgeneral and below Generallöjtnant . Finnish Defence Forces rank of Kenraalimajuri is comparable to Ranks of NATO armies officers as OF - 7","Generallöjtnant is an officer's rank in Sweden and Finland, immediately above Generalmajor and below General. In Sweden, the rank is translated as Lieutenant General. The Director, Joint Staff of Armed Forces Headquarters, the Director of Operations and the Director of Production hold this rank.","Lieutenant general, lieutenant-general and similar (abbrev Lt Gen, LTG and similar) is a three-star military rank (NATO code OF-8) used in many countries. The rank traces its origins to the Middle Ages, where the title of lieutenant general was held by the second in command on the battlefield, who was normally subordinate to a captain general.",TRUE,cf,Generalmajor is an officer 's rank below Generallöjtnant .,"Generalmajor is an officer 's rank in Sweden and Finland , immediately above Brigadgeneral and below Generallöjtnant .",Generallöjtnant is translated as Lieutenant General.,"In Sweden, the rank is translated as Lieutenant General.","Lieutenant general, is a military rank.","Lieutenant general, lieutenant-general and similar (abbrev Lt Gen, LTG and similar) is a three-star military rank (NATO code OF-8) used in many countries.",1351,WH_train_43679
Pinocchio and the emperor of the night's producer is Lou scheimer,"Pinocchio and the Emperor of the Night is an American animated fantasy adventure film that was released on December 25 , 1987 by New World Pictures and is an unofficial sequel to the 1940 Disney film Pinocchio . Created by the now - defunct Filmation , the movie underperformed at the box office , costing $ 10 million but making $ 3.2 million in its entire run .","Filmation Associates was a production company that produced animation and live-action programming for television from 1963 to 1989. Located in Reseda, California, the animation studio was founded in 1962. Filmation's founders and principal producers were Lou Scheimer, Hal Sutherland and Norm Prescott.",,TRUE,verycf,Pinocchio and the emperor of the night was created by the defunct Filmation.,"Created by the now - defunct Filmation , the movie underperformed at the box office , costing $ 10 million but making $ 3.2 million in its entire run .",Filmation's has Lou Scheimer as one of its principal producers.,"Filmation's founders and principal producers were Lou Scheimer, Hal Sutherland and Norm Prescott.",,,1291,WH_train_4756
Algeciras is located in Cádiz province,"Algeciras ( / ˌældʒᵻˈsɪrəs / ; Spanish pronunciation : ( alxeˈθiɾas ) ; Arabic : Al Jazeera Al - Khudra الجزيرة الخضراء ‎ ) is a port city in the south of Spain , and is the largest city on the Bay of Gibraltar ( in Spanish , the Bahía de Algeciras ) . The Port of Algeciras is one of the largest ports in Europe and in the world in three categories : container , cargo and transhipment . It is situated 20 km north - east of Tarifa on the Río de la Miel , which is the southernmost river of the Iberian peninsula and continental Europe . In 2012 , it had a population of 116,917 people . It is the biggest city among its metropolitan area , that also includes the municipalities of Los Barrios , La Línea de la Concepción , Castellar de la Frontera , Jimena de la Frontera , San Roque and Tarifa , with a population of 263,739 .","Spain, officially the Kingdom of Spain, is a sovereign state largely located on the Iberian Peninsula in southwestern Europe, with two large archipelagos, the Balearic Islands in the Mediterranean Sea and the Canary Islands off the North African Atlantic coast, two cities Ceuta and Melilla in the North African mainland and several small islands in the Alboran Sea near the Moroccan coast. Its mainland is bordered to the south and east by the Mediterranean Sea except for a small land boundary with Gibraltar; to the north and northeast by France, Andorra, and the Bay of Biscay; and to the west and northwest by Portugal and the Atlantic Ocean. It is the only European country to have a border with an African country (Morocco) and its African territory accounts for nearly 5% of its population, mostly in the Canary Islands but also in Ceuta and Melilla.","Ceuta (assimilated pronunciation , also  Arabic: سبتة, 'Sabtah') is an Spanish autonomous city located on the north coast of Africa, sharing a western border with Morocco. Separated from the Iberian peninsula by the Strait of Gibraltar, Ceuta lies along the boundary between the Mediterranean Sea and the Atlantic Ocean. Ceuta, along with the Spanish exclave Melilla, is one of nine populated Spanish territories in Africa and one of two populated territories on mainland Africa. It was part of Cádiz province until 14 March 1995 when the city's Statute of Autonomy was passed.",TRUE,verycf,Algeciras is a port city in the south of Spain,"Algeciras ( / ˌældʒᵻˈsɪrəs / ; Spanish pronunciation : ( alxeˈθiɾas ) ; Arabic : Al Jazeera Al - Khudra الجزيرة الخضراء ‎ ) is a port city in the south of Spain , and is the largest city on the Bay of Gibraltar ( in Spanish , the Bahía de Algeciras ) .","Spain, officially the Kingdom of Spain","Spain, officially the Kingdom of Spain, is a sovereign state largely located on the Iberian Peninsula in southwestern Europe, with two large archipelagos, the Balearic Islands in the Mediterranean Sea and the Canary Islands off the North African Atlantic coast, two cities Ceuta and Melilla in the North African mainland and several small islands in the Alboran Sea near the Moroccan coast.",It was part of Cádiz province,It was part of Cádiz province until 14 March 1995 when the city's Statute of Autonomy was passed.,1387,WH_train_12397
"Catherine brandon, duchess of suffolk is a citizen of Kingdom of england","Catherine Brandon , Duchess of Suffolk , suo jure 12th Baroness Willoughby de Eresby ( 22 March 1519 -- 19 September 1580 ) , was an English noblewoman living at the royal courts of King Henry VIII , King Edward VI and later , Queen Elizabeth I. She was the fourth wife of Charles Brandon , 1st Duke of Suffolk , who acted as her legal guardian during his third marriage to Mary Tudor , the younger sister of Henry VIII. Her second husband was Richard Bertie , a member of her household . Following Charles Brandon 's death in 1545 , it was rumoured that King Henry had considered marrying Catherine as his seventh wife , while he was still married to his sixth wife , Catherine Parr , who was Catherine 's close friend . An outspoken supporter of the English Reformation , she fled abroad to Wesel and later the Polish -- Lithuanian Commonwealth during the reign of Queen Mary I , to avoid persecution .","Catherine Parr (alternatively spelled Katherine or Kateryn, signed 'Kateryn the Quene KP') was Queen of England and of Ireland (1543–47) as the last of the six wives of King Henry VIII, and the final queen consort of the House of Tudor. She married him on 12 July 1543, and outlived him by one year. She was also the most-married English queen, with four husbands.","The House of Tudor was a royal house of Welsh and English origin, descended in the male line from the Tudors of Penmynydd. Tudor monarchs ruled the Kingdom of England and its realms, including their ancestral Wales and the Lordship of Ireland (later the Kingdom of Ireland) from 1485 until 1603, with five monarchs in that period. The Tudors succeeded the House of Plantaganet as rulers of the Kingdom of England, and were succeeded by the House of Stuart. The first monarch, Henry VII, descended through his mother from a legitimised branch of the English royal House of Lancaster. The Tudor family rose to power in the wake of the Wars of the Roses, which left the House of Lancaster, to which the Tudors were aligned, extinct.",TRUE,bet,"Catherine Brandon, Duchess of Suffolk was an English woman.","Catherine Brandon , Duchess of Suffolk , suo jure 12th Baroness Willoughby de Eresby ( 22 March 1519 -- 19 September 1580 ) , was an English noblewoman living at the royal courts of King Henry VIII , King Edward VI and later , Queen Elizabeth I.",NA,NA,,NA,1311,WH_train_8123
Dendrosenecio belongs to Asteraceae,"Dendrosenecio is a genus of flowering plants in the sunflower family . It is a segregate of Senecio , in which it formed the subgenus Dendrosenecio . Its members , the giant groundsels , are native to the higher altitude zones of ten mountain groups in equatorial East Africa , where they form a conspicuous element of the flora . They have a giant rosette habit , with a terminal leaf rosette at the apex of a stout woody stem . When they bloom , the flowers form a large terminal inflorescence . Concomitantly , two to four lateral branches are normally initiated . As a result , old plants have the appearance of candelabras the size of telephone poles , each branch with a terminal rosette .","Senecio 
is a genus of the daisy family (Asteraceae) that includes ragworts and groundsels. The scientific Latin genus name, 'Senecio', means 'old man.' ",,likely,qualified_guess,Dendrosenecio is a segregate of Senecio,"It is a segregate of Senecio , in which it formed the subgenus Dendrosenecio .",Senecio is a genus of family Asteraceae,Senecio is a genus of the daisy family (Asteraceae) that includes ragworts and groundsels.,,,1383,WH_train_21658
Pleocyemata belongs to Decapoda,"Pleocyemata is a sub-order of decapod crustaceans , erected by Martin Burkenroad in 1963 . Burkenroad 's classification replaced the earlier sub-orders of Natantia and Reptantia with the monophyletic groups Dendrobranchiata ( prawns ) and Pleocyemata . Pleocyemata contains all the members of the Reptantia ( including crabs , lobsters , crayfish , and others ) , as well as the Stenopodidea ( which contains the so - called `` boxer shrimp '' or `` barber - pole shrimp '' ) , and Caridea , which contains the true shrimp . Pleocyemata comprises the following infraorders : Stenopodidea Caridea Astacidea Glypheidea Axiidea Gebiidea Achelata Polychelida Anomura Brachyura These taxa are united by a number of features , the most important of which is that the fertilised eggs are incubated by the female , and remain stuck to the pleopods ( swimming legs ) until the zoea larvae are ready to hatch . It is this characteristic that gives the group its name . Pleocyemata also possess a lamellar gill structure as opposed to the branched found in Dendrobranchiata . The earliest fossil representative is the Devonian Palaeopalaemon .","Natantia (Boas, 1880) is an obsolete taxon of decapod crustaceans, comprising those families that move predominantly by swimming – the shrimp (comprising Caridea and Procarididea), prawns (Dendrobranchiata) and boxer shrimp. The remaining Decapoda were placed in the Reptantia, and consisted of crabs, lobsters and other large animals that move chiefly by walking along the bottom. The division between Natantia and Reptantia was replaced in 1963, when Martin Burkenroad erected the suborder Pleocyemata for those animals that brood their eggs on the pleopods, leaving Dendrobranchiata for the prawns. Under this system, Natantia is a paraphyletic group. Burkenroad's primary division of Decapoda into Dendrobranchiata and Pleocyemata has since been corroborated by molecular analyses.",,TRUE,bet,Pleocyemata is a sub-order of decapod crustaceans.,"Pleocyemata is a sub-order of decapod crustaceans , erected by Martin Burkenroad in 1963 .",,NA,,,1341,WH_train_43400
Fungus-growing ants belongs to Myrmicinae,"The fungus - growing ants ( tribe Attini ) comprise all the known fungus - growing ant species participating in ant - fungus mutualism . Leafcutter ants , including Atta and Acromyrmex , make up two of the genera .","Acromyrmex is a genus of New World ants of the subfamily Myrmicinae. This genus is found in South America and parts of Central America and the Caribbean Islands, and contains 31 known species.
Commonly known as 'leafcutter ants' they comprise one of the two genera of advanced attines within the tribe Attini, along with 'Atta'.",,TRUE,cf,"Atta and Acromyrmex , make up two of the genera the Fungus-growing ants.","Leafcutter ants , including Atta and Acromyrmex , make up two of the genera .",Acromyrmex is a genus of the subfamily Myrmicinae.,Acromyrmex is a genus of New World ants of the subfamily Myrmicinae.,,,1317,WH_train_3102
Grendel's country of origin is Netherlands,Grendel is a Dutch music group formed in 1997 . Their music is in the electro - industrial genre . Their name originates from the beast in Beowulf . Not to be confused with the Finnish power metal band or Australian heavy metal band of the same name .,"Electro-industrial is a music genre drawing on EBM and post-industrial that developed in the mid-1980s. While EBM has a minimal structure and clean production, electro-industrial has a deep, complex and layered sound. The style was pioneered by Skinny Puppy, Front Line Assembly, and other groups, either from Canada or the Benelux. In the early 1990s, the style spawned the 'dark electro' genre, and in the mid-/late-1990s, the 'aggrotech' offshoot. The fan base for the style is linked to the rivethead subculture.","The Benelux Union is a politico-economic union of three neighbouring states in western Europe: Belgium, the Netherlands, and Luxembourg.",TRUE,cf,Grendel is a Dutch music group.,Grendel is a Dutch music group formed in 1997 .,NA,NA,,NA,1395,WH_train_17144
Leonhard seppala is specialized in/is an athletic competition of Sled dog race,"Leonhard Seppala ( September 14 , 1877 -- January 28 , 1967 ) was a Norwegian - born American Sled dog musher who played a pivotal role in the 1925 serum run to Nome and participated in the 1932 Winter Olympics . Seppala introduced the work dogs used by Native Siberians at the time to the American public ; the breed came to be known as the Siberian Husky in the English - speaking world . The Leonhard Seppala Humanitarian Award , which honors excellence in sled dog care is named in honour of him .","Sled dogs were important for transportation in arctic areas, hauling supplies in areas that were inaccessible by other methods. They were used with varying success in the explorations of both poles, as well as during the Alaskan gold rush. Sled dog teams delivered mail to rural communities in Alaska and northern Canada. Sled dogs today are still used by some rural communities, especially in areas of Alaska and Canada and throughout Greenland. They are used for recreational purposes, and are raced in events known as dog sled races such as the Iditarod and the Yukon Quest.","The Yukon Quest 1,000-mile International Sled Dog Race, or simply Yukon Quest, is a sled dog race run every February between Fairbanks, Alaska, and Whitehorse, Yukon. Because of the harsh winter conditions, difficult trail, and the limited support that competitors are allowed, it is considered the 'most difficult sled dog race in the world', or even the 'toughest race in the world'.",TRUE,bet,Leonhard Seppala was a Sled dog musher,"Leonhard Seppala ( September 14 , 1877 -- January 28 , 1967 ) was a Norwegian - born American Sled dog musher who played a pivotal role in the 1925 serum run to Nome and participated in the 1932 Winter Olympics .",NA,NA,,NA,1374,WH_train_26544
Kataja is located in Haparanda municipality,"Kataja , the easternmost point of Sweden , is an islet south of Haparanda in Norrbotten . It is part of the Haparanda archipelago . The islet has an area of 0.71 square kilometres ( 0.27 sq mi ) . It is about 2 kilometres ( 1.2 mi ) long and 200 to 500 metres ( 660 to 1,640 ft ) wide . The name `` Kataja '' is Finnish for juniper . The island is divided between Sweden and Finland . The border was established in 1809 between two islands , a larger Swedish one called Kataja and a smaller Finnish one called Inakari . In the years since then post-glacial rebound has caused the land in the region to rise relative to sea level , joining the two islands . The border now crosses the southeastern part of the combined island , and is marked by two national cairns . Kataja 's beaches are mostly boulders with some sand . The eastern peninsula is covered in deciduous trees such as rowan , alder and willow , while the remainder is covered by coniferous trees .","Haparanda (meaning 'aspen beach') is a locality and the seat of Haparanda Municipality in Norrbotten County, Sweden. It is adjacent to Tornio, Finland. Haparanda had a population of 4,856 in 2010, of out of a municipal total of 10,200 inhabitants.",,TRUE,bet,Kataja is an islet in Haparanda archipelago,It is part of the Haparanda archipelago .,Haparanda is the seat of Haparanda Municipality,"Haparanda (meaning 'aspen beach') is a locality and the seat of Haparanda Municipality in Norrbotten County, Sweden.",,,1365,WH_train_35076
Barzapharnes is a citizen of Parthian empire,"Barzapharnes was a Parthian general during the latter half of the 1st century BC. In 40 BC , Barzapharnes commanded a Parthian invasion of the Levant , commanded and aided by Pacorus , who allied himself with the Roman outlaw Quintus Labienus , and seized Syria . Barzapharnes campaign culminated in the capture of Jerusalem , and the replacement of Phasael and Hyrcanus II by the pro-parthian Hasmonean prince , Antigonus ben Aristobulus . Within a short time entire Judea had been subjugated , with a few exceptions , including the heavily fortified Tyrus . The Parthian force was driven out of Judea by Herod the Great ( with Roman support ) in 37 BC , while Ventidius drove the Parthians out of Asia Minor and Syria . Pacorus was killed in battle , but Barzapharnes fate remains unknown .","Quintus Labienus Parthicus (died 39 BC), the son of Titus Labienus, was a Roman republican general, later in the service of Parthia. After the then main political power in Rome, Julius Caesar, was murdered by a conspiracy in 44 BC, Labienus took the side of the pro-republic conspirators, led by Brutus and Cassius, the latter of whom he served in the capacity of an ambassador to the Parthians. After Brutus and Cassius fled east to Macedonia and were defeated there in the Battle of Philippi by Caesar's imperialist successors (the Second Triumvirate, particularly Mark Antony and Caesar's heir Octavian, the future emperor Augustus), Labienus joined the Parthians. ","Parthia (Parθava, , Parθaw, , Pahlaw) is a historical region located in north-eastern Iran. It was the political and cultural base of the Arsacid dynasty, rulers of the Parthian Empire (247 BC – 224 AD).",TRUE,cf,Barzapharnes was a Parthian general,Barzapharnes was a Parthian general during the latter half of the 1st century BC.,"Quintus Labienus Parthicus the son of Titus Labienus, was a Roman republican general","Quintus Labienus Parthicus (died 39 BC), the son of Titus Labienus, was a Roman republican general, later in the service of Parthia.",parthian empire is a historical region located in north-eastern Iran.,"Parthia (Parθava, , Parθaw, , Pahlaw) is a historical region located in north-eastern Iran.",1312,WH_train_37414
Business center's country of origin is Singapore,"Business Center is a former primetime business news show on CNBC Asia . It debuted in mid-October 2000 to replace the Asian Edition of Global Market Watch . The show took its name from CNBC US ' flagship evening show , Business Center and while it shared the same lower - thirds , the background for the charts remained the same as the ones used during other daytime shows . The show reviewed all the action from the Asian trading day , crossed - over to Europe to see the midday action there and previewed the session in the US . It also featured updates and analysis of the currency markets from Dow Jones Newswires . World news updates are also featured and the show ends by telling viewers the business events or the kinds of economic data across the region scheduled to be released the following day . It was initially presented by Martin Soong and Grace Phan . Regular contributors to the show included Maria Bartiromo ( CNBC US ) and Nick Hastings ( Dow Jones Newswires ) . Various reporters from CNBC Europe also gave updates on the European trading day . The show was ultimately replaced in February 2005 by CNBC Tonight .","CNBC Asia is a business news television channel in Asia. A subsidiary of NBCUniversal, it is the Asian service of the Consumer News and Business Channel (CNBC). Its programmes originate from Singapore, Mumbai, Hong Kong and Sydney and has bureaus in Tokyo and Seoul, Noida.",,likely,unsure,Business Center is a show on CNBC Asia,Business Center is a former primetime business news show on CNBC Asia .,CNBC Asia's programmes originate from Singapore and other countries,"Its programmes originate from Singapore, Mumbai, Hong Kong and Sydney and has bureaus in Tokyo and Seoul, Noida.",,,1342,WH_train_32018
"Poonch district, pakistan is located in Azad kashmir","Poonch ( Urdu : ضلع پونچھ ‎ ) is one of the eight districts of Azad Jammu and Kashmir . Poonch district borders Indian - administered Kashmir and is part of the greater dispute between India and Pakistan . The capital of the district is Rawalakot with the Sudhan and Awan tribes being the dominant groups in the district . This region has produced numerous business , political and military leaders .","Kashmir is the northernmost geographical region of the Indian subcontinent. Until the mid-19th century, the term 'Kashmir' denoted only the valley between the Great Himalayas and the Pir Panjal mountain range. Today, it denotes a larger area that includes the Indian-administered territory of Jammu and Kashmir (subdivided into Jammu, Kashmir, and Ladakh divisions), the Pakistani-administered territories of Azad Kashmir and Gilgit-Baltistan, and Chinese-administered territories of Aksai Chin and the Trans-Karakoram Tract. ",,TRUE,verycf,"poonch district, pakistan which is located in Azad Jammu and Kashmir",Poonch ( Urdu : ضلع پونچھ ‎ ) is one of the eight districts of Azad Jammu and Kashmir .,,NA,,,1290,WH_train_19314
